"","Mo_2019_122_C"
"3813_662.3958_6.7026_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","2.423783e+06"
"3814_326.1806_4.4262_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","5.065287e+06"
"3815_338.1961_8.71_-1_N/A_Isocycloheximide_NA_no matches_no matches_no matches_no matches","1.037602e+06"
"3816_293.1383_4.8625_386_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.758893e+06"
"3817_313.273_10.6642_-1_N/A_Spectral Match to Monolaurin from NIST14_NA_no matches_no matches_no matches_no matches","3.944679e+06"
"3818_836.1992_12.934_172_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides","9.673444e+05"
"3820_336.2167_9.6558_643_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.191952e+06"
"3821_420.2957_5.8839_30_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","3.021934e+06"
"3823_256.1694_6.247_993_DIPHENHYDRAMINE_Massbank: Cyclizine|1-(Diphenylmethyl)-4-methylpiperazine_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","2.591252e+06"
"3824_398.2904_8.9677_1625_N/A_14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01/4,1/4?.0?,?]hexadecan-5-ol_NA_Organic compounds_Lipids and lipid-like molecules_Quinuclidines_NA","1.609279e+06"
"3825_285.1697_7.2074_1163_N/A_Spectral Match to 11.beta.-Prostaglandin E1 from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.213048e+06"
"3826_357.206_9.8539_1087_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Diterpenoids","1.683105e+06"
"3827_414.1393_3.2115_1095_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","1.215764e+06"
"3828_305.2109_8.8181_555_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Sesquiterpenoids","5.739801e+06"
"3829_768.495_5.0239_110_N/A_dehydroxynocardamine_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.601069e+06"
"3830_398.2902_9.3003_675_N/A_Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Quinuclidines_NA","6.135330e+05"
"3831_436.2546_8.5505_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.756289e+06"
"3832_324.2533_10.3954_64_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","2.604676e+06"
"3833_217.1224_9.6249_32_N/A_Massbank:FFF00243 Estrone_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.504657e+06"
"3834_460.292_9.1837_1013_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","2.603205e+06"
"3835_300.1806_3.7887_111_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Triazines_1,3,5-triazines","3.443055e+06"
"3836_334.2016_7.6607_61_N/A_C14:1-HSL_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.471767e+06"
"3837_231.138_9.9619_-1_N/A_Massbank:LU025401 Fenpyroximate (Z,E)|tert-butyl 4-[[(1,3-dimethyl-5-phenoxypyrazol-4-yl)methylideneamino]oxymethyl]benzoate_NA_no matches_no matches_no matches_no matches","1.560345e+06"
"3838_410.2169_6.0154_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","2.561450e+06"
"3839_321.206_8.3884_154_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids","2.799056e+06"
"3840_366.279_9.7547_-1_N/A_Massbank:FFF00243 Estrone_NA_no matches_no matches_no matches_no matches","1.580775e+06"
"3841_233.1172_5.7685_1788_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Fatty Acyls_NA","3.606210e+06"
"3842_340.1755_4.8948_2242_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_NA","2.122163e+06"
"3843_398.2388_6.0557_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","2.903665e+06"
"3844_301.1647_7.1485_-1_N/A_MoNA:708402 4-Pregnene-11 Corticosteron_NA_no matches_no matches_no matches_no matches","3.177444e+06"
"3845_360.2145_2.3106_239_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.041933e+06"
"3847_502.3392_6.9614_619_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.524006e+06"
"3848_337.1648_5.9792_154_N/A_Terpestacin_130136_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids","4.969331e+06"
"3849_488.2869_6.1171_380_N/A_NA_Oscillacyclin_Organic compounds_Benzenoids_Carboxylic acids and derivatives_NA","1.981105e+06"
"3850_264.2687_9.3209_-1_N/A_forskolin_NA_no matches_no matches_no matches_no matches","1.336052e+06"
"3851_379.2117_9.4874_268_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Amino acids, peptides, and analogues","3.082654e+06"
"3852_295.1177_4.5462_702_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.173218e+06"
"3853_161.0809_5.7398_34_N/A_ferulic acid_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.514920e+06"
"3854_189.1273_9.8994_276_N/A_Dehydrocostus lactone_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","3.404878e+06"
"3855_690.4999_8.4046_519_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Glycerophospholipids_Glycerophosphoethanolamines","3.153752e+06"
"3856_504.3527_10.6574_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","4.194218e+06"
"3857_454.2435_7.1208_185_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA","6.357248e+05"
"3858_349.2374_10.5235_226_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Eicosanoids","1.724543e+06"
"3859_301.1799_10.0279_1989_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Isoquinolines and derivatives_NA","3.093176e+06"
"3860_374.2903_6.6964_82_N/A_Spectral Match to Oleoyl L-carnitine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA","4.192099e+06"
"3861_284.14_3.4197_1210_N/A_NA_NA_Organic compounds_Benzenoids_Phenols_Methoxyphenols","1.741286e+06"
"3863_560.3642_7.0824_941_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Triterpenoids","9.972855e+05"
"3864_319.1904_8.8635_-1_N/A_ingenol_NA_no matches_no matches_no matches_no matches","4.409970e+06"
"3865_212.2009_7.6074_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","6.278895e+05"
"3866_366.2274_7.1859_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","2.389565e+06"
"3867_472.3105_6.8966_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.216115e+06"
"3868_307.1541_6.4996_708_N/A_NCGC00347406-02!5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-4a,6,7,8-tetrahydro-4H-naphthalene-1-carboxylic acid [IIN-based on: CCMSLIB00000847900]_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","4.915153e+06"
"3869_468.332_9.7402_228_N/A_Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Glycerophosphocholines","2.168823e+06"
"3870_406.2214_5.1146_194_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_Amino acids, peptides, and analogues","1.338885e+06"
"3871_494.3475_10.1111_228_N/A_Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Glycerophosphocholines","1.642031e+06"
"3872_358.1861_4.4286_536_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Coumarins and derivatives_NA","2.542174e+06"
"3873_207.0587_3.5839_2712_N/A_TYRAMINE_NA_Organic compounds_Organoheterocyclic compounds_Phenols_Cresols","2.072274e+06"
"3874_440.228_7.3334_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.689414e+06"
"3875_780.4588_4.9866_1032_N/A_desmethylenylnocardamine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Steroidal alkaloids","1.302609e+06"
"3876_392.1915_5.2601_1056_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","3.480303e+06"
"3877_319.1904_10.0679_-1_N/A_Spectral Match to 11.beta.-Prostaglandin E1 from NIST14_NA_no matches_no matches_no matches_no matches","1.332298e+06"
"3878_392.2428_9.78_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","2.294901e+06"
"3879_305.1747_9.5047_813_N/A_NCGC00347406-02!5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-4a,6,7,8-tetrahydro-4H-naphthalene-1-carboxylic acid [IIN-based on: CCMSLIB00000847900]_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Sesquiterpenoids","3.215180e+06"
"3880_299.1854_7.3123_483_N/A_5-hydroxy-7-[2-(2-hydroxy-5-oxo-2H-furan-3-yl)ethyl]-7,8-dimethyl-5,6,6a,8,9,10-hexahydro-1H-benzo[d][2]benzofuran-3-one_NA_Organic compounds_Organoheterocyclic compounds_Fatty Acyls_NA","5.166097e+06"
"3881_377.2324_10.2508_-1_NCGC00384928-01_C22H32O5_(2E)-3-(Acetoxymethyl)-5-[(1R,4aR,8aS)-2,5,5,8a-tetramethyl-4-oxo-1,4,4a,5,6,7,8,8a-octahydro-1-naphthalenyl]-2-pentenoic acid_Massbank:EQ319803 Corticosterone|11b,21-Dihydroxyprogesterone|(8S,9S,10R,11S,13S,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Diterpenoids","8.952132e+05"
"3882_366.1907_6.8768_183_N/A_NA_NA_Organic compounds_Phenylpropanoids and polyketides_Isoflavonoids_NA","1.096981e+06"
"3883_189.1273_7.3335_276_N/A_Dehydrocostus lactone_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","1.224176e+06"
"3884_303.1953_9.2678_2378_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Diterpenoids","3.041654e+06"
"3886_295.1177_5.1895_702_N/A_(9E)-11a-hydroxy-3,6,10-trimethyl-6,7,8,11-tetrahydro-4H-cyclodeca[b]furan-2,5-dione_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","3.752763e+06"
"3887_436.2692_9.8726_47_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids","2.126696e+06"
"3888_307.1541_6.7879_708_N/A_NCGC00347406-02!5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-4a,6,7,8-tetrahydro-4H-naphthalene-1-carboxylic acid [IIN-based on: CCMSLIB00000847900]_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","3.921293e+06"
"3889_185.1284_2.23_1333_N/A_Agomelatine_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","1.834251e+06"
"3890_257.1748_6.6598_64_N/A_Artemisinin_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","1.966973e+06"
"3891_231.1017_7.3687_229_N/A_Massbank: dehydrocostus lactone|(3aS,6aR,9aR,9bS)-3,6,9-trimethylidene-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-2-one_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","1.413315e+06"
"3892_331.2654_10.6518_-1_N/A_Spectral Match to 1-Hexadecanoyl-sn-glycerol from NIST14_NA_no matches_no matches_no matches_no matches","4.403386e+06"
"3893_311.2014_9.8942_353_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","8.705153e+05"
"3894_247.1329_7.8653_116_N/A_1,5-dimethyl-1-vinyl-4-hexenyl acetate_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","1.403770e+06"
"3895_266.1753_0.6898_91_MianserinHCl_Karakoline_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","6.287717e+05"
"3896_455.3127_7.4871_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","8.528617e+05"
"3897_514.302_6.8627_319_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Steroids and steroid derivatives_NA","3.014638e+06"
"3898_353.1961_6.6681_608_N/A_""(R)-4-((5S,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3,7-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_NA","5.143630e+06"
"3899_568.3845_9.9318_228_N/A_Spectral Match to N-Oleoyl-D-erythro-sphingosylphosphorylcholine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Glycerophosphocholines","2.090623e+06"
"3900_292.2271_5.5596_-1_N/A_Spectral Match to Hexanedioic acid, bis(2-ethylhexyl) ester from NIST14_NA_no matches_no matches_no matches_no matches","1.471318e+06"
"3901_311.149_5.2049_1774_N/A_Artemisinin_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_Terpene lactones","3.744880e+06"
"3903_261.1697_7.3421_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.441439e+06"
"3905_349.2731_10.5249_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.984234e+06"
"3906_322.2013_9.1853_643_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","2.056260e+06"
"3908_464.3009_10.0262_192_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Diterpenoids","5.227980e+05"
"3909_341.2324_7.6154_343_N/A_4-acetyloxy-8-(3-oxo-2-pent-2-enylcyclopenten-1-yl)octanoic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.717476e+06"
"3910_195.1016_5.6442_129_N/A_Massbank:NA002716 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one_NA_Organic compounds_Organoheterocyclic compounds_Dihydrofurans_Furanones","3.981893e+06"
"3911_363.2533_10.4961_517_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Diterpenoids","2.438235e+06"
"3912_313.1456_7.7458_277_N/A_Massbank:EQ306502 17a-Ethynylestradiol|Ethinyl Estradiol|17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol_NA_Organic compounds_Phenylpropanoids and polyketides_Coumarins and derivatives_NA","1.235704e+06"
"3913_289.1798_9.0772_152_N/A_Dydrogesterone_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","5.310357e+06"
"3914_225.0911_10.5479_168_3-(4-hydroxyphenyl)-1-phenyl-2-propen-1-one_Massbank:LU100902 1,2-Diphenylethanone|Deoxybenzoin_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","6.298224e+05"
"3915_350.1806_6.2384_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","2.279131e+06"
"3916_503.3294_6.0972_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.698288e+06"
"3917_438.1923_7.3435_1792_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","9.640209e+05"
"3918_458.2755_6.9279_241_N/A_(2S,3S,4S,8R,9S,13R,14R,15S,16R)-3,4,8,14,15-pentahydroxy-2,13,16-trimethyl-6-methylidene-10-oxatetracyclo[7.6.1.01/4,?.01/41/4,1/4?]hexadecan-11-one_NA_Organic compounds_Lipids and lipid-like molecules_Carboxylic acids and derivatives_NA","3.115001e+06"
"3919_289.201_7.6968_64_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","1.483238e+06"
"3920_237.1695_4.6537_167_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","1.059703e+06"
"3921_496.2709_5.5308_449_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","3.149479e+06"
"3923_440.228_6.7595_262_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_Phenylpyridines","2.043385e+06"
"3925_404.2796_10.4903_2279_N/A_Massbank:LU052302 Acetyl tributyl citrate|tributyl 2-acetyloxypropane-1,2,3-tricarboxylate_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","1.548804e+06"
"3926_321.1698_7.5996_154_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids","3.833689e+06"
"3927_347.1854_8.4581_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.188676e+06"
"3928_554.3334_8.0477_61_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","2.135183e+06"
"3929_323.1491_6.1214_352_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Eicosanoids","2.567017e+06"
"3930_318.1547_4.5262_194_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_Amino acids, peptides, and analogues","3.542541e+06"
"3931_302.1599_5.3338_509_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.575734e+06"
"3932_466.2776_6.0452_1063_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_NA","1.081088e+06"
"3934_434.3262_9.7254_797_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Steroidal alkaloids","8.239532e+05"
"3935_309.2421_11.0353_-1_N/A_Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14_NA_no matches_no matches_no matches_no matches","2.230385e+06"
"3936_214.2529_8.4585_2730_N/A_Massbank:LU080702 Azacyclotridecan-2-one_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","2.343985e+06"
"3937_307.154_7.5421_1545_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","4.113053e+06"
"3938_287.1642_9.2862_-1_N/A_Dydrogesterone_NA_no matches_no matches_no matches_no matches","1.425896e+06"
"3939_538.3738_9.9241_145_N/A_DGCC (28:7)_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.312202e+06"
"3940_440.2645_7.5365_1410_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Lupin alkaloids_NA","2.548750e+06"
"3941_379.2479_9.442_-1_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_no matches_no matches_no matches_no matches","1.583612e+06"
"3942_278.2479_8.7374_-1_N/A_1,5-dimethyl-1-vinyl-4-hexenyl acetate_NA_no matches_no matches_no matches_no matches","2.462567e+06"
"3943_388.3058_8.3816_82_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA","1.365990e+06"
"3944_329.211_10.5309_929_N/A_Massbank:EQ324004 Fludrocortisone|[2-[(8S,9R,10S,11S,13S,14S,17R)-9-fluoro-11,17-dihydroxy-10,13-dimethyl-3-oxo-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.388508e+06"
"3945_316.2636_9.409_793_N/A_NA_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","2.756605e+06"
"3946_221.1174_6.7148_-1_N/A_ABSCISIC ACID_NA_no matches_no matches_no matches_no matches","1.221280e+06"
"3947_316.2635_8.028_82_N/A_Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA","1.782245e+06"
"3948_325.1647_5.323_877_N/A_Massbank:AC000918 Atranone B_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","4.891188e+06"
"3950_395.207_7.595_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","2.375098e+06"
"3951_345.2424_10.283_100_N/A_Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Diterpenoids","1.101073e+06"
"3952_305.2111_7.6215_2140_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA","2.693460e+06"
"3955_275.1642_8.4234_2828_N/A_Isoalantolactone_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids","2.865088e+06"
"3956_186.2216_8.6157_73_N/A_9H-Pyrido[3,4-B]indole_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","1.392987e+06"
"3957_488.3241_6.3206_2644_N/A_Spectral Match to Undecaethylene glycol from NIST14_Dolastatin_14_N(Asn)-Me_Organic compounds_Organic acids and derivatives_Peptidomimetics_Depsipeptides","1.438790e+06"
"3959_334.2589_7.2827_760_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","8.530152e+05"
"3961_317.1748_9.5832_-1_N/A_NCGC00384928-01_C22H32O5_(2E)-3-(Acetoxymethyl)-5-[(1R,4aR,8aS)-2,5,5,8a-tetramethyl-4-oxo-1,4,4a,5,6,7,8,8a-octahydro-1-naphthalenyl]-2-pentenoic acid_NA_no matches_no matches_no matches_no matches","5.141430e+05"
"3962_382.2953_10.9486_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.863627e+06"
"3964_812.485_5.7509_113_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.559033e+06"
"3965_265.1547_3.089_-1_Spectral Match to Phe-Val from NIST14_Spectral Match to Phe-Leu from NIST14_NA_no matches_no matches_no matches_no matches","1.849003e+06"
"3966_267.2683_12.0865_-1_Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14_Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14_NA_no matches_no matches_no matches_no matches","9.305998e+05"
"3967_335.1854_7.5912_154_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids","1.230040e+06"
"3968_275.1641_8.624_839_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.290850e+06"
"3969_178.159_6.0638_332_Massbank:LU062101 4-Hexylaniline_Massbank:LU116501 2-(3-Phenylpropyl)pyridine_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Aniline and substituted anilines","1.194739e+06"
"3970_468.332_9.5804_742_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Quinolidines_NA","5.214475e+05"
"3971_460.3054_9.9008_1476_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","5.360286e+05"
"3973_412.2695_8.0984_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.125450e+06"
"3974_371.1707_5.3107_449_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","1.669056e+06"
"3975_413.2534_10.2523_-1_N/A_14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01/4,1/4?.0?,?]hexadecan-5-ol_NA_no matches_no matches_no matches_no matches","1.405378e+06"
"3976_335.1854_7.3954_154_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids","2.902173e+06"
"3977_606.3696_4.4279_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","2.858553e+06"
"3978_370.2224_8.1963_189_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","3.509829e+06"
"3979_417.3401_8.5704_911_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Vitamin D and derivatives","2.579675e+06"
"3980_179.143_8.6386_1621_N/A_10-HYDROXYDECANOATE_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids","1.033501e+06"
"3981_281.1956_4.9534_167_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA","8.271692e+05"
"3982_251.1279_6.7982_64_N/A_Artemisinin_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids","1.160968e+06"
"3983_451.2699_6.3011_-1_N/A_NA_Kulokainalide_1_Kulokainalide_1_Organic compounds_Organic acids and derivatives_Peptidomimetics_Depsipeptides","2.060242e+06"
"3984_342.1911_5.2124_976_N/A_NA_hymenamide_C_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Carbohydrates and carbohydrate conjugates","4.454094e+06"
"3985_724.4674_5.5511_113_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","9.800900e+05"
"3986_328.2047_2.9423_1037_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organonitrogen compounds_Guanidines","5.617255e+05"
"3987_331.1904_8.4366_271_ingenol_[(4R,5S,6R,6aS,7R,10aR,11bR)-5-acetyloxy-6-hydroxy-10a-methoxy-4,7,11b-trimethyl-9-oxo-1,2,3,4a,5,6,6a,7,11,11a-decahydronaphtho[2,1-f][1]benzofuran-4-yl]methyl acetate_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Diterpenoids","2.148280e+06"
"3988_261.1485_7.8543_2834_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Benzene and substituted derivatives_Sesquiterpenoids","2.929808e+06"
